"","Meand13C","SDd13C","Meand15N","SDd15N"
"1",1.3,0.3,2.9,0.32
"2",1.3,0.3,2.9,0.32
"3",1.3,0.3,2.9,0.32
"4",1.3,0.3,2.9,0.32
