"","Flume","Treatment","ALAN","Crayfish","Order","Family","Type","Sample_Group","Plate_ID","Plate_Position","Sample_ID","Weight_mg","d15N","perc_N","d13C","perc_C","C_N","Concd15N","Concd13C"
"Ephemeroptera","Flume 2","Crayfish","No ALAN","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","D11","F2EPH1",0.883,7.97271428571429,9.62306778614736,-28.0882857142857,40.0475414913771,4.16161897446327,0.0962306778614736,0.400475414913771
"Ephemeroptera","Flume 2","Crayfish","No ALAN","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","D12","F2EPH2",0.3974,8.81371428571429,11.2102694393808,-30.1652857142857,45.650085983725,4.07216670665915,0.112102694393808,0.45650085983725
"Gammaridae","Flume 5","Crayfish","No ALAN","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","F5","F5G1",1.2322,6.99871428571429,6.10838179989718,-25.6552857142857,29.64026317522,4.85239203216128,0.0610838179989718,0.2964026317522
"Gammaridae","Flume 5","Crayfish","No ALAN","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","F6","F5G2",0.8252,7.56971428571429,6.75533800261052,-26.1712857142857,34.6030893993776,5.12233279608002,0.0675533800261052,0.346030893993776
"Gammaridae","Flume 5","Crayfish","No ALAN","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","F7","F5G3",0.8589,6.76371428571429,7.43555107443316,-25.8612857142857,36.2201740586974,4.87121582463996,0.0743555107443316,0.362201740586974
"Chironomidae","Flume 5","Crayfish","No ALAN","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","F8","F5CH2",0.2409,7.50471428571429,9.11456746240723,-25.8632857142857,42.5338301328713,4.66657691747863,0.0911456746240723,0.425338301328713
"Chironomidae","Flume 5","Crayfish","No ALAN","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","F9","F5CH1",0.6629,7.46371428571429,8.92662879584767,-25.5582857142857,39.1482903526144,4.38556270770716,0.0892662879584767,0.391482903526144
"Chironomidae","Flume 5","Crayfish","No ALAN","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","F10","F5CH3",0.5538,7.52471428571429,8.38524861096131,-25.1552857142857,39.4242637732651,4.70162133555935,0.0838524861096131,0.394242637732651
"Ephemeroptera","Flume 5","Crayfish","No ALAN","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","F11","F5EPH1",0.8947,8.81871428571429,9.88151186614569,-28.2842857142857,39.4521751971406,3.99252419382349,0.0988151186614569,0.394521751971406
"Ephemeroptera","Flume 5","Crayfish","No ALAN","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","F12","F5EPH2",0.9094,7.69971428571429,9.79710029534845,-26.8812857142857,41.2590465656649,4.21135288216394,0.0979710029534845,0.412590465656649
"Ephemeroptera","Flume 5","Crayfish","No ALAN","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","G1","F5EPH3",0.8329,8.06071428571429,10.1550924022158,-27.8022857142857,46.41623872392,4.57073524154169,0.101550924022158,0.4641623872392
"Simuliidae","Flume 5","Crayfish","No ALAN","Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.67488693781981,NA,-26.5776221314415,NA,NA,NA,NA
"Simuliidae","Flume 5","Crayfish","No ALAN","Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.85638396596635,NA,-26.5366286082142,NA,NA,NA,NA
"Simuliidae","Flume 5","Crayfish","No ALAN","Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.76453696841892,NA,-26.5757068150705,NA,NA,NA,NA
"Simuliidae","Flume 12","Crayfish","No ALAN","Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.7982937788848,NA,-26.5434898882574,NA,NA,NA,NA
"Simuliidae","Flume 12","Crayfish","No ALAN","Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,5.07258271609327,NA,-26.6868170435649,NA,NA,NA,NA
"Simuliidae","Flume 12","Crayfish","No ALAN","Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.96344432499427,NA,-26.5056594486438,NA,NA,NA,NA
"Simuliidae","Flume 15","Crayfish","No ALAN","Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.62376516521986,NA,-26.8221637494662,NA,NA,NA,NA
"Simuliidae","Flume 15","Crayfish","No ALAN","Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.63400657125151,NA,-26.8665146351373,NA,NA,NA,NA
"Simuliidae","Flume 15","Crayfish","No ALAN","Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.4628859523174,NA,-26.642594374361,NA,NA,NA,NA
"Simuliidae","Flume 2","Crayfish","No ALAN","Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.8085111376775,NA,-26.4571993558817,NA,NA,NA,NA
"Simuliidae","Flume 2","Crayfish","No ALAN","Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.93222585691212,NA,-26.5276976741042,NA,NA,NA,NA
"Simuliidae","Flume 2","Crayfish","No ALAN","Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,5.12018507105113,NA,-26.5349110445646,NA,NA,NA,NA
