Family,Meand13C,SDd13C,Meand15N,SDd15N
Chironomidae,0.4,0.8,2.3,0.40
Cicadellidae,0.3,0.8,2.1,0.40
Curculionidae,0.3,0.8,2.1,0.40
Tanypodinae,0.4,0.8,2.3,0.40
