"Flume","Treatment","Type","Family","d15N","perc_N","d13C","perc_C","C_N","Concd15N","Concd13C"
"Flume 12","Crayfish","Prey","Gammaridae",7.72675,8.64142028224202,-26.777875,37.7435426277672,4.36774759183159,0.0864142028224202,0.377435426277672
"Flume 12","Crayfish","Prey","Gammaridae",7.99275,7.21979995598722,-27.264875,34.9106655041916,4.83540620474408,0.0721979995598722,0.349106655041916
"Flume 11","ALAN + Crayfish","Prey","Ephemeroptera",8.02775,9.55538748103949,-27.804875,39.4437933054957,4.12791144092932,0.0955538748103949,0.394437933054957
"Flume 11","ALAN + Crayfish","Prey","Ephemeroptera",7.30575,10.3434979162739,-28.293875,43.4248701290086,4.1982770703406,0.103434979162739,0.434248701290086
"Flume 11","ALAN + Crayfish","Prey","Ephemeroptera",7.74575,10.0362773501466,-28.206875,43.0957513164112,4.29399764602776,0.100362773501466,0.430957513164112
"Flume 11","ALAN + Crayfish","Prey","Chironomidae",7.11775,6.12517330015966,-25.923875,27.4526297324415,4.48193518569113,0.0612517330015966,0.274526297324415
"Flume 11","ALAN + Crayfish","Prey","Chironomidae",7.10375,8.68510960713839,-25.988875,38.3880699519191,4.41998681517704,0.0868510960713839,0.383880699519191
"Flume 11","ALAN + Crayfish","Prey","Chironomidae",7.14375,6.67404822783803,-25.591875,29.8565296975388,4.4735262135213,0.0667404822783803,0.298565296975388
"Flume 11","ALAN + Crayfish","Prey","Gammaridae",6.56075,6.29108770856088,-25.982875,33.432283630324,5.31422945905357,0.0629108770856088,0.33432283630324
"Flume 11","ALAN + Crayfish","Prey","Gammaridae",7.20375,7.21624837565197,-26.825875,33.5101353071664,4.64370592068746,0.0721624837565197,0.335101353071664
"Flume 11","ALAN + Crayfish","Prey","Gammaridae",7.28875,6.77658513442448,-26.307875,33.8602164583241,4.99664887058189,0.0677658513442448,0.338602164583241
"Flume 10","Control","Prey","Ephemeroptera",9.25175,10.6564769923723,-31.639875,43.1316051508778,4.04745444312889,0.106564769923723,0.431316051508778
"Flume 10","Control","Prey","Ephemeroptera",9.23875,10.5502117540324,-32.818875,44.0185606169162,4.17229166988917,0.105502117540324,0.440185606169162
"Flume 10","Control","Prey","Ephemeroptera",8.78475,10.7647170386415,-30.239875,44.6773416568277,4.1503498416588,0.107647170386415,0.446773416568277
"Flume 10","Control","Prey","Chironomidae",7.85875,8.27805444094468,-25.731875,39.0826208144413,4.72123263905247,0.0827805444094468,0.390826208144413
"Flume 10","Control","Prey","Chironomidae",7.77375,8.8564176924552,-26.375875,40.369636498943,4.55823538374144,0.088564176924552,0.40369636498943
"Flume 10","Control","Prey","Chironomidae",7.77875,8.07850622784729,-26.086875,38.7342904033118,4.79473423809361,0.0807850622784729,0.387342904033118
"Flume 10","Control","Prey","Gammaridae",7.83875,7.16318748169521,-26.319875,34.9080523607678,4.87325683572736,0.0716318748169521,0.349080523607678
"Flume 10","Control","Prey","Gammaridae",7.64175,6.79577359941821,-26.681875,33.1304583173683,4.87515627657234,0.0679577359941821,0.331304583173683
"Flume 10","Control","Prey","Gammaridae",9.26775,6.70493745937067,-26.501875,33.0619076009974,4.93097926734437,0.0670493745937067,0.330619076009974
"Flume 9","ALAN","Prey","Ephemeroptera",6.76175,10.4271518796881,-26.550875,40.2859663108312,3.86356377807323,0.104271518796881,0.402859663108312
"Flume 9","ALAN","Prey","Ephemeroptera",7.29475,10.6170923625493,-28.066875,42.2265458200995,3.97722317732199,0.106170923625493,0.422265458200995
"Flume 9","ALAN","Prey","Ephemeroptera",7.30871428571429,10.4029967065655,-27.1002857142857,39.7215705295715,3.81828156347511,0.104029967065655,0.397215705295715
"Flume 9","ALAN","Prey","Chironomidae",5.05771428571429,8.56477156946352,-26.6112857142857,39.756029954,4.64180855631276,0.0856477156946352,0.39756029954
"Flume 9","ALAN","Prey","Chironomidae",6.66571428571429,10.3975076360814,-25.9082857142857,41.4418529361763,3.9857487377422,0.103975076360814,0.414418529361763
"Flume 9","ALAN","Prey","Chironomidae",7.72271428571429,8.33645483792814,-26.9042857142857,38.1355492230366,4.57455236841592,0.0833645483792814,0.381355492230366
"Flume 9","ALAN","Prey","Gammaridae",7.56771428571429,6.87474552470403,-25.9862857142857,32.1804728486128,4.68096931486031,0.0687474552470403,0.321804728486128
"Flume 9","ALAN","Prey","Gammaridae",7.06771428571429,6.07448584910756,-26.1982857142857,31.760107928478,5.22844380864664,0.0607448584910756,0.31760107928478
"Flume 9","ALAN","Prey","Gammaridae",8.03071428571429,6.63856096789565,-26.4292857142857,34.7700765399621,5.2375924101792,0.0663856096789565,0.347700765399621
"Flume 1","ALAN + Crayfish","Prey","Gammaridae",7.44571428571429,7.00459138090957,-26.2532857142857,34.5419196979277,4.93132544348965,0.0700459138090957,0.345419196979277
"Flume 1","ALAN + Crayfish","Prey","Gammaridae",8.53071428571429,7.30275100431436,-26.6452857142857,33.9823968607916,4.65336923588321,0.0730275100431436,0.339823968607916
"Flume 1","ALAN + Crayfish","Prey","Gammaridae",8.57471428571429,7.48334796277403,-26.8532857142857,34.5266566965335,4.61379811125803,0.0748334796277403,0.345266566965335
