"Flume","Treatment","Order","Family","Type","Sample_Group","Plate_ID","Plate_Position","Sample_ID","Weight_mg","d15N","perc_N","d13C","perc_C","C_N","Concd15N","Concd13C"
"Flume 7","Control","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","G10","F7G1",0.8758,6.08871428571429,6.32261854464493,-26.2002857142857,33.0505378690159,5.22734965515335,0.0632261854464493,0.330505378690159
"Flume 7","Control","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","G11","F7G2",1.0459,7.38871428571429,7.08675843460175,-26.5742857142857,33.9863447363109,4.79575324175993,0.0708675843460175,0.339863447363109
"Flume 7","Control","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","G12","F7G3",0.8258,8.12071428571429,7.78947123923344,-27.3152857142857,36.0173242874993,4.62384713690062,0.0778947123923344,0.360173242874993
"Flume 7","Control","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","H1","F7CH1",0.7621,7.50371428571429,9.36946946001489,-25.5722857142857,40.254132949084,4.29630867797503,0.0936946946001489,0.40254132949084
"Flume 7","Control","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","H2","F7CH2",0.4414,5.87708333333333,8.72170750899194,-25.7625,39.1812136064667,4.49237876483149,0.0872170750899194,0.391812136064667
"Flume 7","Control","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","H3","F7CH3",0.8053,6.87608333333333,8.39694252472455,-25.9645,37.8624147528014,4.5090715628119,0.0839694252472455,0.378624147528014
"Flume 7","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","H4","F7EPH1",0.9726,7.01608333333333,10.2442984759518,-27.3245,41.5271296057298,4.05368212408235,0.102442984759518,0.415271296057298
"Flume 7","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","H5","F7EPH2",0.4767,8.75608333333333,11.1999200857953,-30.5815,43.8606703184673,3.91615922100153,0.111999200857953,0.438606703184673
"Flume 7","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","H6","F7EPH3",0.8541,8.35308333333333,10.173304710022,-30.8985,42.4961581925054,4.17722258438217,0.10173304710022,0.424961581925054
"Flume 8","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","H7","F8G1",0.8594,7.04308333333333,5.5530780297729,-26.2595,28.4774378606496,5.12822577099897,0.055530780297729,0.284774378606496
"Flume 8","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","H8","F8G2",1.0709,8.52008333333333,9.03365156577545,-26.6205,36.9946525955926,4.09520472715033,0.0903365156577545,0.369946525955926
"Flume 8","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","H9","F8G3",0.8696,7.76708333333333,6.7806211168416,-25.3045,30.6690658429349,4.52304668177958,0.067806211168416,0.306690658429349
"Flume 8","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","H10","F8CH1",0.1943,5.39908333333333,8.05185211461237,-26.6455,40.0582019883341,4.97502952341078,0.0805185211461237,0.400582019883341
"Flume 8","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","H11","F8CH2",0.9001,7.00308333333333,7.14144630159308,-25.2405,34.8492645959703,4.87986090271327,0.0714144630159308,0.348492645959703
"Flume 8","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","H12","F8CH3",0.5596,6.41008333333333,9.75215663499419,-26.1255,40.4626588604639,4.1490985404469,0.0975215663499419,0.404626588604639
"Flume 8","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","A1","F8EPH1",0.9804,7.60808333333333,10.462729756244,-28.4915,42.8647923735536,4.09690332945594,0.10462729756244,0.428647923735536
"Flume 8","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_03","A2","F8EPH2",0.9584,8.28408333333334,10.9511819388566,-28.5045,44.5555766656079,4.06856327603485,0.109511819388566,0.445555766656079
"Flume 8","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_03","A3","F8EPH3",0.7871,8.25308333333333,12.5999200810137,-28.9325,55.4766284448933,4.40293494626914,0.125999200810137,0.554766284448933
"Flume 9","ALAN",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.675,NA,-26.506,NA,NA,NA,NA
"Flume 16","ALAN",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.544,NA,-26.757,NA,NA,NA,NA
"Flume 3","ALAN",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.863,NA,-26.442,NA,NA,NA,NA
"Flume 6","ALAN",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.54945124335382,NA,-26.4400396509233,NA,NA,NA,NA
"Flume 5","Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.722,NA,-26.536,NA,NA,NA,NA
"Flume 12","Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,5.016,NA,-26.568,NA,NA,NA,NA
"Flume 15","Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.511,NA,-26.765,NA,NA,NA,NA
"Flume 2","Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.974,NA,-26.522,NA,NA,NA,NA
"Flume 7","Control",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.983,NA,-27.008,NA,NA,NA,NA
"Flume 4","Control",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.912,NA,-26.426,NA,NA,NA,NA
"Flume 10","Control",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.80295124335382,NA,-26.5887063175899,NA,NA,NA,NA
"Flume 13","Control",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.80295124335382,NA,-26.5887063175899,NA,NA,NA,NA
"Flume 14","ALAN + Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.482,NA,-27.933,NA,NA,NA,NA
"Flume 1","ALAN + Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.33745124335382,NA,-27.8047063175899,NA,NA,NA,NA
"Flume 8","ALAN + Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.33745124335382,NA,-27.8047063175899,NA,NA,NA,NA
"Flume 11","ALAN + Crayfish",NA,"Simuliidae",NA,NA,NA,NA,NA,NA,4.33745124335382,NA,-27.8047063175899,NA,NA,NA,NA
