"Flume","Treatment","Order","Family","Type","Sample_Group","Plate_ID","Plate_Position","Sample_ID","Weight_mg","d15N","perc_N","d13C","perc_C","C_N","Concd15N","Concd13C"
"Flume 15","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_1","F10","F15EPH2",1.1816,6.586,10.03,-30.719,43.188,4.30570163602402,0.1003,0.43188
"Flume 15","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_1","F11","F15EPH1",1.0422,7.334,10.154,-29.527,43.447,4.27872846015988,0.10154,0.43447
"Flume 15","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_1","F12","F15CH2",0.2734,7.168,8.424,-25.239,36.241,4.30221297657704,0.08424,0.36241
"Flume 15","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_1","G1","F15CH1",0.1166,7.176,8.907,-26.665,42.048,4.72066661261853,0.08907,0.42048
"Flume 15","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_1","G2","F15G3",1.0673,7.429,6.992,-26.768,36.659,5.24337278545699,0.06992,0.36659
"Flume 15","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_1","G3","F15G2",1.0199,6.812,6.293,-26.003,33.314,5.2937080004833,0.06293,0.33314
"Flume 15","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_1","G4","F15G1",0.777,7.609,6.563,-25.61,30.347,4.6237429454528,0.06563,0.30347
"Flume 14","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_1","G5","F14EPH3",0.8268,7.582,9.635,-28.779,42.249,4.38511387127898,0.09635,0.42249
"Flume 14","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_1","G6","F14EPH2",0.8605,8.197,9.976,-28.751,43.618,4.37213457138186,0.09976,0.43618
"Flume 14","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_1","G7","F14EPH1",0.8892,7.406,9.727,-28.949,40.484,4.16207099004635,0.09727,0.40484
"Flume 14","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_1","G8","F14CH2",0.7734,7.142,7.602,-26.202,39.477,5.19281823318163,0.07602,0.39477
"Flume 14","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_1","G9","F14CH1",0.0591,5.821,9.022,-26.588,44.45,4.92686503976272,0.09022,0.4445
"Flume 14","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_1","G10","F14G3",1.1537,8.601,7.551,-26.632,35.133,4.65289112106156,0.07551,0.35133
"Flume 14","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_1","G11","F14G2",0.8115,7.277,6.508,-26.257,31.402,4.82534255599818,0.06508,0.31402
"Flume 14","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_1","G12","F14G1",1.1613,8.929,8.745,-26.454,38.661,4.4206605416375,0.08745,0.38661
"Flume 13","Control","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_1","H1","F13G1",0.8709,7.754,7.08,-26.507,36.264,5.12243617365211,0.0708,0.36264
"Flume 13","Control","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_1","H2","F13G2",1.1062,7.747,7.425,-26.046,34.216,4.60794263501878,0.07425,0.34216
"Flume 13","Control","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_1","H3","F13G3",0.7842,8.175,9.727,-26.834,41.458,4.26194353054167,0.09727,0.41458
"Flume 13","Control","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_1","H4","F13CH1",0.9515,7.908,8.165,-26.407,40.493,4.95924417283356,0.08165,0.40493
"Flume 13","Control","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_1","H5","F13CH2",0.7459,6.94,8.852,-26.044,39.642,4.47841632988139,0.08852,0.39642
"Flume 13","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_1","H6","F13EPH1",0.8378,7.047,10.207,-27.894,40.045,3.92331069609442,0.10207,0.40045
"Flume 13","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_1","H7","F13EPH2",0.8415,8.246,10.385,-29.453,44.125,4.24906875694713,0.10385,0.44125
"Flume 13","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_1","H8","F13EPH3",0.8551,8.002,10.092,-28.485,45.295,4.48821735239402,0.10092,0.45295
"Flume 13","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_1","H9","F12EPH3",0.7383,8.788,10.103,-29.32,42.803,4.23646951172134,0.10103,0.42803
"Flume 12","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_1","H10","F12EPH2",0.7458,8.711,10.58,-30.175,45.406,4.29152151491887,0.1058,0.45406
"Flume 12","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_1","H11","F12EPH1",1.1304,8.751,9.872,-29.726,45.145,4.57288844179527,0.09872,0.45145
"Flume 12","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_1","H12","F12CH3",0.6375,6.912,8.56,-25.868,37.664,4.40004195477074,0.0856,0.37664
"Flume 12","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","A1","F12CH2",0.9992,7.36475,8.06470326230667,-25.512875,39.7172417405676,4.92482369763071,0.0806470326230667,0.397172417405676
"Flume 12","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","A2","F12CH1",0.9348,7.10975,6.91358925721554,-25.596875,33.7417834066087,4.8805015963876,0.0691358925721554,0.337417834066087
"Flume 12","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","A3","F12G3",0.8275,6.45675,6.471127550391,-26.286875,34.2512010298032,5.29292627337159,0.06471127550391,0.342512010298032
"Flume 12","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","A4","F12G2",0.8992,7.72675,8.64142028224202,-26.777875,37.7435426277672,4.36774759183159,0.0864142028224202,0.377435426277672
"Flume 12","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","A5","F12G1",1.3088,7.99275,7.21979995598722,-27.264875,34.9106655041916,4.83540620474408,0.0721979995598722,0.349106655041916
"Flume 11","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","A6","F11EPH3",0.7587,8.02775,9.55538748103949,-27.804875,39.4437933054957,4.12791144092932,0.0955538748103949,0.394437933054957
"Flume 11","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","A7","F11EPH2",0.8463,7.30575,10.3434979162739,-28.293875,43.4248701290086,4.1982770703406,0.103434979162739,0.434248701290086
"Flume 11","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","A8","F11EPH1",0.7422,7.74575,10.0362773501466,-28.206875,43.0957513164112,4.29399764602776,0.100362773501466,0.430957513164112
"Flume 11","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","A9","F11CH3",0.7201,7.11775,6.12517330015966,-25.923875,27.4526297324415,4.48193518569113,0.0612517330015966,0.274526297324415
"Flume 11","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","A10","F11CH2",0.7408,7.10375,8.68510960713839,-25.988875,38.3880699519191,4.41998681517704,0.0868510960713839,0.383880699519191
"Flume 11","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","A11","F11CH1",0.7521,7.14375,6.67404822783803,-25.591875,29.8565296975388,4.4735262135213,0.0667404822783803,0.298565296975388
"Flume 11","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","A12","F11G3",1.097,6.56075,6.29108770856088,-25.982875,33.432283630324,5.31422945905357,0.0629108770856088,0.33432283630324
"Flume 11","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","B1","F11G2",1.0521,7.20375,7.21624837565197,-26.825875,33.5101353071664,4.64370592068746,0.0721624837565197,0.335101353071664
"Flume 11","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","B2","F11G1",0.9254,7.28875,6.77658513442448,-26.307875,33.8602164583241,4.99664887058189,0.0677658513442448,0.338602164583241
