"Family","n","Meand15N","SDd15N","Meand13C","SDd13C"
"Chironomidae",48,7.69139970238096,0.417757206353898,-25.9975250992064,0.52312147239879
"Cicadellidae",48,1.7414875,1.32759986980585,-27.1811291666666,0.892900741179718
"Curculionidae",48,2.20061631944444,0.687889798702853,-27.3430868055556,0.680941714586358
"Tanypodinae",48,8.53524801587302,0.311525955103695,-25.387869295635,0.475555780055138
