"Flume","Treatment","Type","Order","Family","d15N","d13C"
"Flume 7","Control","Prey","Diptera","Chironomidae",7.70321428571429,-24.9959285714286
"Flume 7","Control","Prey","Diptera","Chironomidae",7.80421428571429,-24.8129285714286
"Flume 8","ALAN + Crayfish","Prey","Diptera","Chironomidae",6.62821428571429,-26.9499285714286
"Flume 8","ALAN + Crayfish","Prey","Diptera","Chironomidae",6.63721428571429,-26.9279285714286
"Flume 8","ALAN + Crayfish","Prey","Diptera","Chironomidae",6.63721428571429,-26.8809285714286
"Flume 9","ALAN","Prey","Diptera","Chironomidae",7.43821428571429,-26.6859285714286
"Flume 9","ALAN","Prey","Diptera","Chironomidae",7.38021428571429,-26.5839285714286
"Flume 9","ALAN","Prey","Diptera","Chironomidae",7.43421428571429,-26.6459285714286
"Flume 10","Control","Prey","Diptera","Chironomidae",7.50721428571429,-25.3269285714286
"Flume 10","Control","Prey","Diptera","Chironomidae",7.56721428571429,-25.3249285714286
"Flume 10","Control","Prey","Diptera","Chironomidae",7.66021428571429,-25.2769285714286
"Flume 11","ALAN + Crayfish","Prey","Diptera","Chironomidae",7.50321428571429,-25.4549285714286
"Flume 11","ALAN + Crayfish","Prey","Diptera","Chironomidae",7.60321428571429,-25.3359285714286
"Flume 11","ALAN + Crayfish","Prey","Diptera","Chironomidae",7.54621428571429,-25.4409285714286
"Flume 12","Crayfish","Prey","Diptera","Chironomidae",8.37421428571429,-25.5909285714286
"Flume 12","Crayfish","Prey","Diptera","Chironomidae",8.24721428571429,-25.5169285714286
"Flume 12","Crayfish","Prey","Diptera","Chironomidae",8.35721428571429,-25.5949285714286
"Flume 13","Control","Prey","Diptera","Chironomidae",8.12721428571429,-25.8289285714286
"Flume 13","Control","Prey","Diptera","Chironomidae",8.02021428571429,-25.7829285714286
"Flume 13","Control","Prey","Diptera","Chironomidae",8.12921428571429,-25.7409285714286
"Flume 14","ALAN + Crayfish","Prey","Diptera","Chironomidae",7.18921428571429,-26.1259285714286
"Flume 14","ALAN + Crayfish","Prey","Diptera","Chironomidae",7.14621428571429,-26.1579285714286
"Flume 14","ALAN + Crayfish","Prey","Diptera","Chironomidae",7.3442,-26.1757333333333
"Flume 15","Crayfish","Prey","Diptera","Chironomidae",7.4942,-26.1097333333333
"Flume 15","Crayfish","Prey","Diptera","Chironomidae",7.3852,-26.1027333333333
"Flume 15","Crayfish","Prey","Diptera","Chironomidae",7.3612,-26.0437333333333
"Flume 16","ALAN","Prey","Diptera","Chironomidae",7.8182,-26.3797333333333
"Flume 16","ALAN","Prey","Diptera","Chironomidae",7.8202,-26.3347333333333
"Flume 16","ALAN","Prey","Diptera","Chironomidae",7.8602,-26.3357333333333
"Flume 1","ALAN + Crayfish","Prey","Hemiptera","Cicadellidae",2.8372,-28.8297333333333
"Flume 1","ALAN + Crayfish","Prey","Hemiptera","Cicadellidae",2.9972,-28.8247333333333
"Flume 1","ALAN + Crayfish","Prey","Hemiptera","Cicadellidae",2.9072,-28.6567333333333
"Flume 2","Crayfish","Prey","Hemiptera","Cicadellidae",2.7882,-26.3527333333333
"Flume 2","Crayfish","Prey","Hemiptera","Cicadellidae",2.8892,-26.3997333333333
"Flume 2","Crayfish","Prey","Hemiptera","Cicadellidae",2.7892,-26.3367333333333
"Flume 3","ALAN","Prey","Hemiptera","Cicadellidae",2.1372,-26.7717333333333
"Flume 3","ALAN","Prey","Hemiptera","Cicadellidae",2.2632,-26.8277333333333
"Flume 3","ALAN","Prey","Hemiptera","Cicadellidae",1.9562,-26.7117333333333
"Flume 4","Control","Prey","Hemiptera","Cicadellidae",0.787200000000001,-26.8757333333333
"Flume 4","Control","Prey","Hemiptera","Cicadellidae",0.981200000000001,-27.0017333333333
"Flume 4","Control","Prey","Hemiptera","Cicadellidae",0.9072,-27.0517333333333
"Flume 5","Crayfish","Prey","Hemiptera","Cicadellidae",2.7302,-27.8247333333333
"Flume 5","Crayfish","Prey","Hemiptera","Cicadellidae",2.7352,-27.9427333333333
"Flume 5","Crayfish","Prey","Hemiptera","Cicadellidae",2.7262,-27.9527333333333
"Flume 6","ALAN","Prey","Hemiptera","Cicadellidae",3.4722,-28.5717333333333
"Flume 6","ALAN","Prey","Hemiptera","Cicadellidae",3.7112,-28.6177333333333
"Flume 6","ALAN","Prey","Hemiptera","Cicadellidae",3.6182,-28.6327333333333
"Flume 7","Control","Prey","Hemiptera","Cicadellidae",4.0472,-27.8207333333333
"Flume 7","Control","Prey","Hemiptera","Cicadellidae",4.0912,-27.5777333333333
"Flume 7","Control","Prey","Hemiptera","Cicadellidae",3.8232,-27.6247333333333
"Flume 8","ALAN + Crayfish","Prey","Hemiptera","Cicadellidae",-0.179799999999999,-26.5527333333333
"Flume 8","ALAN + Crayfish","Prey","Hemiptera","Cicadellidae",0.0112000000000006,-26.5937333333333
"Flume 8","ALAN + Crayfish","Prey","Hemiptera","Cicadellidae",0.0222000000000006,-26.5657333333333
"Flume 9","ALAN","Prey","Hemiptera","Cicadellidae",0,-27.7367333333333
"Flume 9","ALAN","Prey","Hemiptera","Cicadellidae",2.3772,-27.6677333333333
"Flume 9","ALAN","Prey","Hemiptera","Cicadellidae",2.6832,-27.6637333333333
"Flume 10","Control","Prey","Hemiptera","Cicadellidae",2.5852,-27.0547333333333
"Flume 10","Control","Prey","Hemiptera","Cicadellidae",2.4062,-26.9527333333333
"Flume 10","Control","Prey","Hemiptera","Cicadellidae",2.2852,-26.8537333333333
"Flume 11","ALAN + Crayfish","Prey","Hemiptera","Cicadellidae",1.8132,-26.8257333333333
"Flume 11","ALAN + Crayfish","Prey","Hemiptera","Cicadellidae",1.3312,-26.5347333333333
"Flume 11","ALAN + Crayfish","Prey","Hemiptera","Cicadellidae",1.5452,-26.8977333333333
"Flume 12","Crayfish","Prey","Hemiptera","Cicadellidae",-0.296799999999999,-25.9387333333333
