"Flume","Treatment","Order","Family","Type","Sample_Group","Plate_ID","Plate_Position","Sample_ID","Weight_mg","d15N","perc_N","d13C","perc_C","C_N","Concd15N","Concd13C"
"Flume 15","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","C8","15-4",0.8505,9.472,13.446,-24.883,44.105,3.28026780608694,0.13446,0.44105
"Flume 1","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","C9","1-4",0.9737,9.782,13.316,-25.606,43.357,3.2559008381993,0.13316,0.43357
"Flume 2","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","C10","2-1",1.0858,9.468,13.181,-25.076,42.644,3.23529409462145,0.13181,0.42644
"Flume 5","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","C11","5-5",0.94,9.021,13.241,-24.965,43.391,3.27708543625951,0.13241,0.43391
"Flume 8","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","C12","8-5",0.7928,9.75,13.812,-25.617,44.356,3.21135856456687,0.13812,0.44356
"Flume 11","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D1","11-3",0.8774,9.26,13.207,-24.869,43.606,3.30183491397252,0.13207,0.43606
"Flume 12","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D2","12-5",0.8325,9.706,13.28,-25.016,44.123,3.32250855546957,0.1328,0.44123
"Flume 14","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D3","14-2",0.7445,9.401,13.42,-25.205,43.464,3.2386201655829,0.1342,0.43464
"Flume 15","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D4","15-1",0.944,9.049,13.66,-25.277,43.477,3.18284092126821,0.1366,0.43477
"Flume 1","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D5","1-6",1.025,9.532,13.068,-25.349,43.426,3.32305544566337,0.13068,0.43426
"Flume 2","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D6","2-5",1.0069,9.566,12.774,-25.565,43.113,3.37505776175976,0.12774,0.43113
"Flume 5","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D7","5-1",1.0995,9.534,13.932,-25.154,43.844,3.14695193794354,0.13932,0.43844
"Flume 8","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D8","8-4",0.8736,8.949,12.486,-25.473,43.133,3.45452545495684,0.12486,0.43133
"Flume 11","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D9","11-6",0.9403,9.362,12.151,-25.256,42.731,3.51657760831013,0.12151,0.42731
"Flume 12","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D10","12-2",0.7369,9.903,13.505,-25.313,44.35,3.2839328479441,0.13505,0.4435
"Flume 14","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D11","14-1",0.8847,9.305,13.758,-24.936,44.448,3.23074501553621,0.13758,0.44448
"Flume 15","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D12","15-5",0.8198,9.454,10.263,-25.639,36.213,3.52832012915983,0.10263,0.36213
