"Treatment"	"name"	"map_value"	"hdi_lower"	"hdi_upper"	"m_value"
"ALAN"	"Aquatic"	0.581715540896009	0.492758378273091	0.727752619019636	0.611671279860553
"ALAN"	"Terrestrial"	0.291290883659884	0.272247380980364	0.507241621726908	0.388328720139447
"ALAN + Crayfish"	"Aquatic"	0.487951620402623	0.31402878191179	0.76984455026705	0.561253993243207
"ALAN + Crayfish"	"Terrestrial"	0.527471187926957	0.23015544973295	0.68597121808821	0.438746006756793
"Control"	"Aquatic"	0.319524501526872	0.402796077848629	0.640080641392704	0.524253309564397
"Control"	"Terrestrial"	0.424723259757776	0.359919358607296	0.597203922151371	0.475746690435603
"Crayfish"	"Aquatic"	0.642961862829021	0.477585048793369	0.772329731137564	0.653718555398617
"Crayfish"	"Terrestrial"	0.204913753134024	0.227670268862436	0.522414951206631	0.346281444601383
