"Treatment"	"name"	"Median"	"Mean"	"MAP"	"Lower95"	"Upper95"
"ALAN"	"Aquatic"	0.611671279860553	0.61156422752967	0.581715540896009	0.492758378273091	0.727752619019636
"ALAN"	"Terrestrial"	0.388328720139447	0.38843577247033	0.291290883659884	0.272247380980364	0.507241621726908
"ALAN + Crayfish"	"Aquatic"	0.561253993243207	0.554491589125554	0.487951620402623	0.31402878191179	0.76984455026705
"ALAN + Crayfish"	"Terrestrial"	0.438746006756793	0.445508410874446	0.527471187926957	0.23015544973295	0.68597121808821
"Control"	"Aquatic"	0.524253309564397	0.523329908131856	0.319524501526872	0.402796077848629	0.640080641392704
"Control"	"Terrestrial"	0.475746690435603	0.476670091868144	0.424723259757776	0.359919358607296	0.597203922151371
"Crayfish"	"Aquatic"	0.653718555398617	0.649004513881262	0.642961862829021	0.477585048793369	0.772329731137564
"Crayfish"	"Terrestrial"	0.346281444601383	0.350995486118738	0.204913753134024	0.227670268862436	0.522414951206631
