,name,contrast,p_g
1,Aquatic,ALANCray_ALAN,0.338
2,Aquatic,ALANCray_Control,0.655333333
3,Aquatic,ALANCray_Crayfish,0.211333333
4,Aquatic,ALAN_Control,0.872666667
5,Aquatic,Crayfish_Control,0.923
6,Terrestrial,ALANCray_ALAN,0.662
7,Terrestrial,ALANCray_Control,0.344666667
8,Terrestrial,ALANCray_Crayfish,0.788666667
9,Terrestrial,ALAN_Control,0.127333333
10,Terrestrial,Crayfish_Control,0.077
